lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,275000000,99,12.010101010101,3.54128694897758,12,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,24.5614032121212,13.9510681875751,20.908582
5,0,50,200,200,35000000,300000000,99,10.8181818181818,3.2019242822812,11,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,25.2483428383838,12.9427086101698,20.923465
5,0,50,400,200,35000000,25000000,99,100,0,100,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,1.43858837373737,0.179163999340735,1.479849
5,0,50,400,200,35000000,50000000,99,97.3434343434343,5.71992867117225,100,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,1.47207927272727,0.172185195075951,1.48363
5,0,50,400,200,35000000,75000000,99,71.3131313131313,13.5500933535804,75,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,2.30663073737374,0.541048295931198,2.149545
5,0,50,400,200,35000000,100000000,99,43.7676767676768,11.6407344978552,43,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,4.49952177777778,1.28358884184605,4.265824
5,0,50,400,200,35000000,125000000,99,29.4848484848485,7.3573004648356,30,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,7.00293314141414,1.60540834668227,6.951924
5,0,50,400,200,35000000,150000000,99,22.8585858585859,5.3566858871959,24,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,9.26740964646465,2.68350500119605,8.936592
5,0,50,400,200,35000000,175000000,99,18.8080808080808,4.68535880114258,19,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,14.0276742626263,3.73837886149121,14.668464
5,0,50,400,200,35000000,200000000,99,16.4141414141414,4.15272249280481,17,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,16.6013057777778,3.79137226381074,16.406876
5,0,50,400,200,35000000,225000000,99,14.5454545454545,3.85786429039655,15,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,20.6618670707071,9.51232839391592,19.835982
5,0,50,400,200,35000000,250000000,99,13.010101010101,3.62106915515674,13,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,23.8131828585859,14.748458429938,20.777889
5,0,50,400,200,35000000,275000000,99,12.010101010101,3.48903515548689,12,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,24.6061251010101,13.9687168456425,20.894063
5,0,50,400,200,35000000,300000000,99,10.9090909090909,3.23277510498431,11,100000000,0,100000000,100000000,0,100000000,0.75078604040404,0.0073681957915653,0.75056,25.3550857373737,12.6822993016614,22.068053
5,0,50,600,200,35000000,25000000,99,100,0,100,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,1.43771463636364,0.178925520092058,1.474167
5,0,50,600,200,35000000,50000000,99,97.4141414141414,5.88323474298132,100,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,1.46777402020202,0.177431737351268,1.471399
5,0,50,600,200,35000000,75000000,99,71.2828282828283,13.0821894847579,74,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,2.29169405050505,0.515168580458613,2.150117
5,0,50,600,200,35000000,100000000,99,43.7474747474747,11.683184702063,43,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,4.49545384848485,1.19721422601159,4.292578
5,0,50,600,200,35000000,125000000,99,29.4949494949495,7.18469708417138,30,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,6.80809633333333,1.52928682730683,6.844138
5,0,50,600,200,35000000,150000000,99,22.8282828282828,5.21387552993365,24,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,9.34473445454545,2.72785684670058,9.144131
5,0,50,600,200,35000000,175000000,99,18.8080808080808,4.5122888161941,20,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,13.822407989899,3.87243554776479,14.391819
5,0,50,600,200,35000000,200000000,99,16.4141414141414,4.06831986835187,17,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,16.8696773333333,3.8773655237871,16.725441
5,0,50,600,200,35000000,225000000,99,14.4949494949495,3.79949979890946,15,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,20.3244992121212,7.82426467285572,19.625458
5,0,50,600,200,35000000,250000000,99,13.020202020202,3.56565189385604,13,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,24.0908671515151,15.7075862141208,20.705621
5,0,50,600,200,35000000,275000000,99,11.9494949494949,3.34838900458036,12,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,24.8379805757576,14.9208319222928,20.937137
5,0,50,600,200,35000000,300000000,99,10.8080808080808,3.15153596396724,10,100000000,0,100000000,100000000,0,100000000,0.491499484848485,0.00394699291210885,0.491706,25.5271209191919,13.9841419860031,21.279116
5,0,50,800,200,35000000,25000000,99,100,0,100,100000000,0,100000000,100000000,0,100000000,0.375296383838384,0.00280100074210757,0.375406,1.43957867676768,0.178657632030174,1.475693
