lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,300000000,1,30,99,18.4444444444444,4.0234572965026,18,80000000,0,80000000,78258960.9852503,47858.0368613857,78262565.744954,1943.508507,33.0586636572294,1942.519778,13.9508104848485,2.32239008777568,13.478442
5,0,50,1000,200,35000000,300000000,1,40,99,18.2424242424242,3.92555964836553,18,80000000,0,80000000,78294691.4910085,43019.3954112068,78294124.302361,1979.27896610101,32.8856630154386,1978.947738,14.0100711313131,2.35748658232296,13.450697
5,0,50,1000,200,35000000,300000000,1,50,99,18.2121212121212,4.25290471510589,18,80000000,0,80000000,78320429.6936632,43676.7760403054,78314605.899324,2006.3023089596,33.5175727496448,2004.93351,14.0507078181818,2.40265749986162,13.551766
5,0,50,1000,200,35000000,300000000,1,60,99,18.4242424242424,4.211478263641,19,80000000,0,80000000,78343404.1085041,37113.769683429,78343754.245208,2027.6948469697,32.0233695567658,2025.048421,13.9624728787879,2.41394861260589,13.50366
5,0,50,1000,200,35000000,300000000,1,70,99,18.2626262626263,3.96305864815183,18,80000000,0,80000000,78360359.227182,42444.9478846096,78359731.861588,2047.07686061616,33.1542344893929,2048.297883,14.0123647272727,2.31071272441429,13.560275
5,0,50,1000,200,35000000,300000000,2,10,99,18.2121212121212,4.03624579881144,18,80000000,0,80000000,78178833.7004012,49402.3150877332,78183943.906838,1851.50358488889,31.7682453298909,1851.725109,14.097412030303,2.39949421742716,13.768826
5,0,50,1000,200,35000000,300000000,2,20,99,18.4141414141414,4.12560472007785,18,80000000,0,80000000,78269140.4076225,44407.8791007307,78270125.912413,1935.7130720202,31.7302788354577,1934.434975,13.9991942626263,2.408982776073,13.458144
5,0,50,1000,200,35000000,300000000,2,30,99,18.1616161616162,4.14213557929809,18,80000000,0,80000000,78315718.481914,41625.687983206,78314322.77921,1985.12703378788,32.4498105257938,1986.111126,14.1104402323232,2.43513936399581,13.58329
5,0,50,1000,200,35000000,300000000,2,40,99,18.3131313131313,4.03466222607287,18,80000000,0,80000000,78350827.5128907,40786.2251247924,78349726.72699,2019.98997236364,32.4641668580158,2019.802213,14.0189045858586,2.44914744938966,13.598428
5,0,50,1000,200,35000000,300000000,2,50,99,18.4343434343434,4.30984070012351,19,80000000,0,80000000,78374423.1639663,39017.1736058425,78377445.775191,2046.21926919192,32.0828074706112,2045.882815,14.0347765454545,2.49081768338997,13.580677
