lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,100000000,3,20,99,7.04040404040404,6.42685563121448,9,80000000,0,80000000,32165752.7256154,27903306.6871954,48175708.672875,125.29513920202,5.14735352487225,125.792951,12.4251365087719,2.3386064688756,12.652089
5,0,50,1000,200,35000000,100000000,3,30,99,7.04040404040404,6.42050158877109,9,80000000,0,80000000,32168937.3803568,27904406.3216396,48169934.629987,125.294324090909,5.14903751642307,125.791118,12.4096675438596,2.28309512924356,12.729641
5,0,50,1000,200,35000000,100000000,3,40,99,7.02020202020202,6.39033038330187,9,80000000,0,80000000,32168694.8665463,27903140.2547562,48180145.555464,125.294127535354,5.14914487554085,125.793304,12.4261994035088,2.23162172039753,12.689306
5,0,50,1000,200,35000000,100000000,3,50,99,7.01010101010101,6.39434531680212,9,80000000,0,80000000,32175377.6845138,27908514.4855052,48177066.367334,125.29621130303,5.14747649618466,125.792275,12.4656897719298,2.29861691677292,12.722839
5,0,50,1000,200,35000000,100000000,4,10,99,7.05050505050505,6.41645483109357,9,80000000,0,80000000,32165311.9204732,27902376.4429749,48165044.711727,125.294295494949,5.1496118709367,125.790527,12.3788668596491,2.23212584802141,12.687056
5,0,50,1000,200,35000000,100000000,4,20,99,7.07070707070707,6.45115481712704,9,80000000,0,80000000,32174134.4614021,27907795.2674548,48182658.606023,125.294263919192,5.14824340461359,125.791969,12.3676177192982,2.30573874796259,12.721058
5,0,50,1000,200,35000000,100000000,4,30,99,7.05050505050505,6.43233816213957,9,80000000,0,80000000,32167684.60775,27903564.1875272,48175382.545817,125.294098111111,5.14812931656764,125.791918,12.3885995087719,2.24663530008314,12.695962
5,0,50,1000,200,35000000,100000000,4,40,99,7.05050505050505,6.41327344442239,9,80000000,0,80000000,32163467.125519,27901722.9960492,48178879.832473,125.295174818182,5.14940583272022,125.792552,12.3742632631579,2.26063798141265,12.72477
5,0,50,1000,200,35000000,100000000,4,50,99,7.03030303030303,6.41658333881594,9,80000000,0,80000000,32161063.2291307,27900144.8687125,48178700.131414,125.295274282828,5.14993043091542,125.792069,12.4426128245614,2.34606016190258,12.715528
5,0,50,1000,200,35000000,100000000,5,10,99,7.06060606060606,6.43304317775823,9,80000000,0,80000000,32168332.213938,27904199.8061421,48161036.4783,125.295657020202,5.1479113950005,125.790759,12.3797491929825,2.2976120763939,12.731269
5,0,50,1000,200,35000000,100000000,5,20,99,7.05050505050505,6.43233816213957,9,80000000,0,80000000,32174468.8517342,27908026.3046927,48183266.850557,125.292989070707,5.1497336990571,125.791594,12.3980075614035,2.2786064260364,12.698862
5,0,50,1000,200,35000000,100000000,5,30,99,7.03030303030303,6.41658333881594,9,80000000,0,80000000,32159288.8555447,27898566.5546603,48181269.020363,125.29335859596,5.14886158243885,125.792539,12.4358197017544,2.30165988834605,12.789332
5,0,50,1000,200,35000000,100000000,5,40,99,7.04040404040404,6.42367939563788,9,80000000,0,80000000,32165859.5146924,27902628.8250927,48185307.307269,125.296041030303,5.14860886038646,125.792162,12.4175027894737,2.31136254923011,12.693046
5,0,50,1000,200,35000000,100000000,5,50,99,7.05050505050505,6.4275772840411,9,80000000,0,80000000,32172234.1499269,27906662.6549194,48177730.49433,125.29606159596,5.15021152513414,125.792919,12.3916599473684,2.27907433352628,12.743946
