lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,800,200,35000000,175000000,2,20,99,56.3636363636364,12.4108696150235,57,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,5.49358318181818,0.870404585370696,5.490817
5,0,50,800,200,35000000,200000000,2,20,99,42.4444444444444,10.3876125424019,43,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,7.21589841414141,1.18782539205435,7.034809
5,0,50,800,200,35000000,225000000,2,20,99,33.1515151515151,8.05765403186418,33,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,8.93062750505051,1.40416965249832,8.666633
5,0,50,800,200,35000000,250000000,2,20,99,26.1515151515152,6.15176038578843,26,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,10.7117615858586,1.72400053776563,10.428015
5,0,50,800,200,35000000,275000000,2,20,99,21.7272727272727,4.91108322108806,22,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,12.3474134545455,2.12548278650464,11.89564
5,0,50,800,200,35000000,300000000,2,20,99,18.4444444444444,4.23113392970085,18,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,13.9399202222222,2.47817871885205,13.542182
5,0,50,1000,200,35000000,25000000,2,20,99,100,0,100,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,3.53775294949495,0.362906475936881,3.544023
5,0,50,1000,200,35000000,50000000,2,20,99,100,0,100,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,3.42957675757576,0.3661720413169,3.421021
5,0,50,1000,200,35000000,75000000,2,20,99,100,0,100,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,3.31280564646465,0.354921425937138,3.309172
5,0,50,1000,200,35000000,100000000,2,20,99,99.5454545454545,1.91808113761223,100,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,3.25926761616162,0.333566084689367,3.298541
5,0,50,1000,200,35000000,125000000,2,20,99,93.1414141414141,7.51598310678188,96,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,3.36554031313131,0.235137191992061,3.37649
5,0,50,1000,200,35000000,150000000,2,20,99,75.2828282828283,11.4517981869709,76,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,4.10757763636364,0.385306404329881,4.016398
5,0,50,1000,200,35000000,175000000,2,20,99,57.2828282828283,12.1008014610944,57,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,5.35621495959596,0.708969706367108,5.217204
5,0,50,1000,200,35000000,200000000,2,20,99,42.7070707070707,10.5610494659139,42,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,7.01560636363636,0.975744658910076,6.942827
5,0,50,1000,200,35000000,225000000,2,20,99,33.3232323232323,7.9228786291351,33,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,8.80297923232323,1.20450840270742,8.72634
5,0,50,1000,200,35000000,250000000,2,20,99,26.3939393939394,6.03191880970738,26,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,10.5729159292929,1.50571466415376,10.302744
5,0,50,1000,200,35000000,275000000,2,20,99,21.6868686868687,4.54152375904932,22,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,12.3191819292929,1.86707052900279,11.767246
5,0,50,1000,200,35000000,300000000,2,20,99,18.1010101010101,4.11442199549825,18,80000000,0,80000000,78264193.5543475,40511.345788449,78266732.892019,1933.01702428283,33.8215557886602,1933.90345,14.0739831313131,2.48552397936861,13.596103
